Time [s],F_NEDC,V_NEDC,F_2,V_2,F_1,V_1
0,0,0,0,0,0,0
5.65E-09,0,0,1E-05,-1E-10,0,0
5.65E-09,0,0,1E-05,-1E-10,0,0
1,0,0,79.63696,-0.0007963697,0,0
1,0,0,79.63696,-0.0007963697,0,0
1.0063063,0,0,1181.8756,1.24E-13,0,0
1.0063063,0,0,1181.8756,1.24E-13,0,0
2,0,0,9261.566,1.7815038,0,0
2,0,0,9261.566,1.7815038,0,0
3,0,0,5046.9434,2.7385917,0,0
3,0,0,5046.9434,2.7385917,0,0
3.0042365,0,0,4806.208,2.7423487,353.0394,2.19E-21
3.0042365,0,0,4806.208,2.7423487,353.0394,2.19E-21
4,0,0,2417.6082,3.0834627,4103.4663,0.7922987
4,0,0,2417.6082,3.0834627,4103.4663,0.7922987
5,0,0,787.70087,3.1410758,1353.6412,1.0420191
5,0,0,787.70087,3.1410758,1353.6412,1.0420191
6,0,0,-1266.899,2.7768579,1479.2806,1.2907628
6,0,0,-1266.899,2.7768579,1479.2806,1.2907628
7,0,0,-2107.7725,2.2324889,2605.394,1.7795016
7,0,0,-2107.7725,2.2324889,2605.394,1.7795016
8,0,0,-1328.2184,1.870921,2982.1687,2.3590672
8,0,0,-1328.2184,1.870921,2982.1687,2.3590672
9,0,0,-2418.4937,1.3016016,2734.2795,2.889324
9,0,0,-2418.4937,1.3016016,2734.2795,2.889324
10,0,0,3.0232804,1.2581198,2736.7725,3.4170768
10,0,0,3.0232804,1.2581198,2736.7725,3.4170768
11,0,0,3042.2725,1.9114189,4241.586,4.2631397
11,0,0,3042.2725,1.9114189,4241.586,4.2631397
11.003389,353.0394,-1.07E-21,3145.0242,1.913779,4268.8086,4.2660685
11.003389,353.0394,-1.07E-21,3145.0242,1.913779,4268.8086,4.2660685
11.003392,353.34137,1E-10,3145.109,1.9137812,4268.831,4.266071
11.003392,353.34137,1E-10,3145.109,1.9137812,4268.831,4.266071
12,5041.22,0.99125445,4346.2876,2.8979287,4623.2437,5.203768
12,5041.22,0.99125445,4346.2876,2.8979287,4623.2437,5.203768
13,5043.532,2.032898,3760.758,3.7684758,3707.8389,6.046255
13,5043.532,2.032898,3760.758,3.7684758,3707.8389,6.046255
14,5047.493,3.074525,3012.3484,4.439071,2458.6035,6.7809696
14,5047.493,3.074525,3012.3484,4.439071,2458.6035,6.7809696
15,5053.099,4.1161356,3561.102,5.197472,2591.8367,7.5296373
15,5053.099,4.1161356,3561.102,5.197472,2591.8367,7.5296373
16,366.14883,4.1630054,996.93164,5.4240584,846.44385,7.908202
16,366.14883,4.1630054,996.93164,5.4240584,846.44385,7.908202
17,366.18292,4.163005,1268.8448,5.692595,-151.64659,8.057072
17,366.18292,4.163005,1268.8448,5.692595,-151.64659,8.057072
18,366.18292,4.163005,943.9616,5.9106994,1103.2026,8.46119
18,366.18292,4.163005,943.9616,5.9106994,1103.2026,8.46119
19,366.18292,4.163005,1088.7079,6.16321,1108.7428,8.877802
19,366.18292,4.163005,1088.7079,6.16321,1108.7428,8.877802
20,366.18292,4.163005,1062.0361,6.4065294,1615.8925,9.400508
20,366.18292,4.163005,1062.0361,6.4065294,1615.8925,9.400508
21,366.18292,4.163005,1309.0051,6.6992517,1498.2433,9.901684
21,366.18292,4.163005,1309.0051,6.6992517,1498.2433,9.901684
22,366.18292,4.163005,-903.2598,6.5226326,1380.5245,10.375084
22,366.18292,4.163005,-903.2598,6.5226326,1380.5245,10.375084
23,366.18292,4.163005,-1895.9225,6.108084,1137.2743,10.794183
23,366.18292,4.163005,-1895.9225,6.108084,1137.2743,10.794183
24,-3388.1843,3.3672152,-2403.837,5.5748997,893.36237,11.157733
24,-3388.1843,3.3672152,-2403.837,5.5748997,893.36237,11.157733
25,-3391.9448,2.5339193,-2050.7346,5.108835,774.15784,11.492258
25,-3391.9448,2.5339193,-2050.7346,5.108835,774.15784,11.492258
26,-3394.6685,1.7006134,263.72806,5.1372824,780.0094,11.825533
26,-3394.6685,1.7006134,263.72806,5.1372824,780.0094,11.825533
27,-3396.3386,0.8672967,4044.276,5.9903407,660.5995,12.132283
27,-3396.3386,0.8672967,4044.276,5.9903407,660.5995,12.132283
28,-3396.9556,0.033969555,5303.13,7.1503353,666.2852,12.437781
28,-3396.9556,0.033969555,5303.13,7.1503353,666.2852,12.437781
28.10482,6.83E-10,-6.83E-15,4498.3984,7.2606277,440.39014,12.466246
28.10482,6.83E-10,-6.83E-15,4498.3984,7.2606277,440.39014,12.466246
29,6.83E-10,-6.83E-15,4381.0464,8.134993,421.14655,12.690233
29,6.83E-10,-6.83E-15,4381.0464,8.134993,421.14655,12.690233
30,6.83E-10,-6.83E-15,3692.5283,8.9641,551.48883,12.966707
30,6.83E-10,-6.83E-15,3692.5283,8.9641,551.48883,12.966707
31,6.83E-10,-6.83E-15,4128.267,9.871376,180.6897,13.16486
31,6.83E-10,-6.83E-15,4128.267,9.871376,180.6897,13.16486
32,6.83E-10,-6.83E-15,4133.4336,10.744704,309.88052,13.38579
32,6.83E-10,-6.83E-15,4133.4336,10.744704,309.88052,13.38579
33,6.83E-10,-6.83E-15,3031.8235,11.380938,63.371952,13.554922
33,6.83E-10,-6.83E-15,3031.8235,11.380938,63.371952,13.554922
34,6.83E-10,-6.83E-15,2046.9501,11.830992,66.85756,13.721554
34,6.83E-10,-6.83E-15,2046.9501,11.830992,66.85756,13.721554
35,6.83E-10,-6.83E-15,1525.0896,12.117074,-180.7282,13.83514
35,6.83E-10,-6.83E-15,1525.0896,12.117074,-180.7282,13.83514
36,6.83E-10,-6.83E-15,1611.115,12.365411,259.6935,13.997403
36,6.83E-10,-6.83E-15,1611.115,12.365411,259.6935,13.997403
37,6.83E-10,-6.83E-15,1289.3474,12.515757,597.1218,14.188474
37,6.83E-10,-6.83E-15,1289.3474,12.515757,597.1218,14.188474
38,6.83E-10,-6.83E-15,1150.1849,12.633492,321.5408,14.3023405
38,6.83E-10,-6.83E-15,1150.1849,12.633492,321.5408,14.3023405
39,6.83E-10,-6.83E-15,544.7948,12.714286,465.8336,14.412008
39,6.83E-10,-6.83E-15,544.7948,12.714286,465.8336,14.412008
